,P,F,CE,VI,NMI,V,J,RI,FM,ARI,AMI,DHS,NDHS
minkowski,0.360,0.232,1.523,3.033,0.006,0.006,0.131,0.637,0.232,-0.006,-0.001,0.055,-0.006
mahalanobis,0.360,0.354,1.526,1.955,0.007,0.007,0.215,0.361,0.417,-0.004,-0.003,0.175,-0.008
canberra,0.360,0.235,1.527,3.042,0.004,0.004,0.133,0.637,0.235,-0.003,-0.004,0.056,-0.003
correlation,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
sqeuclidean,0.364,0.349,1.522,2.177,0.010,0.010,0.211,0.410,0.399,0.003,-0.001,0.158,0.005
cosine,0.360,0.232,1.527,3.054,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
braycurtis,0.360,0.232,1.527,3.051,0.004,0.004,0.131,0.641,0.232,-0.002,-0.003,0.054,-0.002
euclidean,0.360,0.232,1.523,3.033,0.006,0.006,0.131,0.637,0.232,-0.006,-0.001,0.055,-0.006
cityblock,0.360,0.248,1.527,2.977,0.004,0.004,0.141,0.619,0.248,-0.006,-0.003,0.063,-0.006
chebyshev,0.360,0.232,1.527,3.048,0.003,0.003,0.131,0.639,0.232,-0.004,-0.004,0.055,-0.004
